City,City-Country_EN
Lisbon,"Lisbon, Portugal"
"Canggu, Bali","Canggu, Bali, Indonesia"
Mexico City,"Mexico City, Mexico"
Chiang Mai,"Chiang Mai, Thailand"
Belgrade,"Belgrade, Serbia"
Berlin,"Berlin, Germany"
Bangkok,"Bangkok, Thailand"
Prague,"Prague, Czechia"
Istanbul,"Istanbul, Turkey"
Taipei,"Taipei, Taiwan"
Bengaluru,"Bengaluru, India"
Cape Town,"Cape Town, South Africa"
Singapore,"Singapore, Singapore"
Cluj,"Cluj, Romania"
Ko Pha Ngan,"Ko Pha Ngan, Thailand"
Buenos Aires,"Buenos Aires, Argentina"
Auckland,"Auckland, New Zealand"
Melbourne,"Melbourne, Australia"
London,"London, United Kingdom"
Playa del Carmen,"Playa del Carmen, Mexico"
"George Town, Penang","George Town, Penang, Malaysia"
Zagreb,"Zagreb, Croatia"
Moscow,"Moscow, Russia"
Budapest,"Budapest, Hungary"
Kathmandu,"Kathmandu, Nepal"
Lviv,"Lviv, Ukraine"
Brasov,"Brasov, Romania"
Vancouver,"Vancouver, Canada"
"Seattle, WA","Seattle, WA, United States"
Sofia,"Sofia, Bulgaria"
Saint Petersburg,"Saint Petersburg, Russia"
"Austin, TX","Austin, TX, United States"
Puerto Vallarta,"Puerto Vallarta, Mexico"
São Paulo,"São Paulo, Brazil"
Kiev,"Kiev, Ukraine"
Seoul,"Seoul, South Korea"
Yangon,"Yangon, Myanmar"
Sarajevo,"Sarajevo, Bosnia"
Stockholm,"Stockholm, Sweden"
Sydney,"Sydney, Australia"
"Portland, OR","Portland, OR, United States"
Da Nang,"Da Nang, Vietnam"
Montreal,"Montreal, Canada"
Kuala Lumpur,"Kuala Lumpur, Malaysia"
Brno,"Brno, Czechia"
"Chicago, IL","Chicago, IL, United States"
"Ubud, Bali","Ubud, Bali, Indonesia"
Timisoara,"Timisoara, Romania"
Chisinau,"Chisinau, Moldova"
Phuket,"Phuket, Thailand"
Warsaw,"Warsaw, Poland"
Bansko,"Bansko, Bulgaria"
Toronto,"Toronto, Canada"
"Tampa, FL","Tampa, FL, United States"
Barcelona,"Barcelona, Spain"
Manila,"Manila, Philippines"
Pokhara,"Pokhara, Nepal"
Willemstad,"Willemstad, Curaçao"
Ploiesti,"Ploiesti, Romania"
Siem Reap,"Siem Reap, Cambodia"
Oaxaca,"Oaxaca, Mexico"
Edinburgh,"Edinburgh, United Kingdom"
Davao,"Davao, Philippines"
Kraków,"Kraków, Poland"
Mumbai,"Mumbai, India"
Wrocław,"Wrocław, Poland"
Ericeira,"Ericeira, Portugal"
Nakhon Ratchasima,"Nakhon Ratchasima, Thailand"
Split,"Split, Croatia"
"Las Palmas, Canary Islands","Las Palmas, Canary Islands, Spain"
Vilnius,"Vilnius, Lithuania"
"New York City, NY","New York City, NY, United States"
Valencia,"Valencia, Spain"
Christchurch,"Christchurch, New Zealand"
Gdansk,"Gdansk, Poland"
Palawan,"Palawan, Philippines"
"New Orleans, LA","New Orleans, LA, United States"
"Tucson, AZ","Tucson, AZ, United States"
"Los Angeles, CA","Los Angeles, CA, United States"
Madrid,"Madrid, Spain"
"Boston, MA","Boston, MA, United States"
Suva,"Suva, Fiji"
Bucharest,"Bucharest, Romania"
Delhi,"Delhi, India"
Almaty,"Almaty, Kazakhstan"
Varna,"Varna, Bulgaria"
