City,Country,City-Country_EN,City_ES,City-Country_ES,Other,Other_ES
Lisbon,Portugal,"Lisbon, Portugal",Lisboa,"Lisboa, Portugal",Lisbon,Lisboa
"Canggu, Bali",Indonesia,"Canggu, Bali, Indonesia","Canggu, Bali","Canggu, Bali, Indonesia",Canggu,Canggu
Mexico City,Mexico,"Mexico City, Mexico",Ciudad de México,"Ciudad de México, México",Mexico City,Ciudad de México
Chiang Mai,Thailand,"Chiang Mai, Thailand",Chiang Mai,"Chiang Mai, Tailandia",Chiang Mai,Chiang Mai
Belgrade,Serbia,"Belgrade, Serbia",Belgrado,"Belgrado, Serbia",Belgrade,Belgrado
Berlin,Germany,"Berlin, Germany",Berlina,"Berlín, Alemania",Berlin,Berlina
Bangkok,Thailand,"Bangkok, Thailand",Bangkok,"Bangkok, Tailandia",Bangkok,Bangkok
Prague,Czechia,"Prague, Czechia",Praga,"Praga, Chequia",Prague,Praga
Istanbul,Turkey,"Istanbul, Turkey",Estanbul,"Istanbul, Turquía",Istanbul,Estanbul
Taipei,Taiwan,"Taipei, Taiwan",Taipei,"Taipei, Taiwán",Taipei,Taipei
Bengaluru,India,"Bengaluru, India",Bangalore,"Bangalore, India",Bengaluru,Bangalore
Cape Town,South Africa,"Cape Town, South Africa",Ciudad del Cabo,"Ciudad del Cabo, Sudáfrica",Cape Town,Ciudad del Cabo
Singapore,Singapore,"Singapore, Singapore",Singapur,"Singapur, Singapur",Singapore,Singapur
Cluj,Romania,"Cluj, Romania",Cluj,"Cluj, Rumania",Cluj,Cluj
Ko Pha Ngan,Thailand,"Ko Pha Ngan, Thailand",Ko Pha Ngan,"Ko Pha Ngan, Tailandia",Ko Pha Ngan,Ko Pha Ngan
Buenos Aires,Argentina,"Buenos Aires, Argentina",Buenos Aires,"Buenos Aires, Argentina",Buenos Aires,Buenos Aires
Auckland,New Zealand,"Auckland, New Zealand",Auckland,"Auckland, Nueva Zelanda",Auckland,Auckland
Melbourne,Australia,"Melbourne, Australia",Melbourne,"Melbourne, Australia",Melbourne,Melbourne
London,United Kingdom,"London, United Kingdom",Londres,"Londres, Reino Unido",London,Londres
Playa del Carmen,Mexico,"Playa del Carmen, Mexico",Playa del Carmen,"Playa del Carmen, México",Playa del Carmen,Playa del Carmen
"George Town, Penang",Malaysia,"George Town, Penang, Malaysia","George Town, Penang","George Town, Penang, Malasia",George Town,George Town
Zagreb,Croatia,"Zagreb, Croatia",Zagreb,"Zagreb, Croacia",Zagreb,Zagreb
Moscow,Russia,"Moscow, Russia",Moscú,"Moscú, Rusia",Moscow,Moscú
Budapest,Hungary,"Budapest, Hungary",Budapest,"Budapest, Hungría",Budapest,Budapest
Kathmandu,Nepal,"Kathmandu, Nepal",Katmandú,"Katmandú, Nepal",Kathmandu,Katmandú
Lviv,Ukraine,"Lviv, Ukraine",Lviv,"Lviv, Ucrania",Lviv,Lviv
Brasov,Romania,"Brasov, Romania",Brasov,"Brasov, Rumania",Brasov,Brasov
Vancouver,Canada,"Vancouver, Canada",Vancouver,"Vancouver, Canada",Vancouver,Vancouver
"Seattle, WA",United States,"Seattle, WA, United States","Seattle, WA","Seattle, WA, Estados Unidos",Seattle,Seattle
Sofia,Bulgaria,"Sofia, Bulgaria",Sofía,"Sofía, Bulgaria",Sofia,Sofía
Saint Petersburg,Russia,"Saint Petersburg, Russia",San Petersburgo,"San Petersburgo, Rusia",Saint Petersburg,San Petersburgo
"Austin, TX",United States,"Austin, TX, United States","Austin, TX","Austin, TX, Estados Unidos",Austin,Austin
Puerto Vallarta,Mexico,"Puerto Vallarta, Mexico",Puerto Vallarta,"Puerto Vallarta, México",Puerto Vallarta,Puerto Vallarta
São Paulo,Brazil,"São Paulo, Brazil",Sao Paulo,"São Paulo, Brasil",São Paulo,Sao Paulo
Kiev,Ukraine,"Kiev, Ukraine",Kiev,"Kiev, Ucrania",Kiev,Kiev
Seoul,South Korea,"Seoul, South Korea",Seúl,"Seúl, Corea del Sur",Seoul,Seúl
Yangon,Myanmar,"Yangon, Myanmar",Yangon,"Yangon, Myanmar",Yangon,Yangon
Sarajevo,Bosnia,"Sarajevo, Bosnia",Sarajevo,"Sarajevo, Bosnia",Sarajevo,Sarajevo
Stockholm,Sweden,"Stockholm, Sweden",Estocolmo,"Estocolmo, Suiza",Stockholm,Estocolmo
Sydney,Australia,"Sydney, Australia",Sydney,"Sydney, Australia",Sydney,Sydney
"Portland, OR",United States,"Portland, OR, United States","Portland, OR","Portland, OR, Estados Unidos",Portland,Portland
Da Nang,Vietnam,"Da Nang, Vietnam",Da Nang,"Da Nang, Vietnam",Da Nang,Da Nang
Montreal,Canada,"Montreal, Canada",Montreal,Montreal Canadá,Montreal,Montreal
Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",Kuala Lumpur,"Kuala Lumpur, Malasia",Kuala Lumpur,Kuala Lumpur
Brno,Czechia,"Brno, Czechia",Brno,"Brno, Chequia",Brno,Brno
"Chicago, IL",United States,"Chicago, IL, United States","Chicago, IL","Chicago, IL, Estados Unidos",Chicago,Chicago
"Ubud, Bali",Indonesia,"Ubud, Bali, Indonesia","Ubud, Bali","Ubud, Bali, Indonesia",Ubud,Ubud
Timisoara,Romania,"Timisoara, Romania",Timisoara,"Timisoara, Rumania",Timisoara,Timisoara
Chisinau,Moldova,"Chisinau, Moldova",Chisinau,"Chisinau, Moldavia",Chisinau,Chisinau
Phuket,Thailand,"Phuket, Thailand",Phuket,"Phuket, Tailandia",Phuket,Phuket
Warsaw,Poland,"Warsaw, Poland",Varsovia,"Varsovia, Polonia",Warsaw,Varsovia
Bansko,Bulgaria,"Bansko, Bulgaria",Bansko,"Bansko, Bulgaria",Bansko,Bansko
Toronto,Canada,"Toronto, Canada",Toronto,Toronto Canada,Toronto,Toronto
"Tampa, FL",United States,"Tampa, FL, United States","Tampa, FL","Tampa, FL, Estados Unidos",Tampa,Tampa
Barcelona,Spain,"Barcelona, Spain",Barcelona,"Barcelona, ​​España",Barcelona,Barcelona
Manila,Philippines,"Manila, Philippines",Manila,"Manila, Filipinas",Manila,Manila
Pokhara,Nepal,"Pokhara, Nepal",Pokhara,"Pokhara, Nepal",Pokhara,Pokhara
Willemstad,Curaçao,"Willemstad, Curaçao",Willemstad,"Willemstad, Curazao",Willemstad,Willemstad
Ploiesti,Romania,"Ploiesti, Romania",Ploiesti,"Ploiesti, Rumanía",Ploiesti,Ploiesti
Siem Reap,Cambodia,"Siem Reap, Cambodia",Siem Reap,"Siem Reap, Camboya",Siem Reap,Siem Reap
Oaxaca,Mexico,"Oaxaca, Mexico",Oaxaca,"Oaxaca, México",Oaxaca,Oaxaca
Edinburgh,United Kingdom,"Edinburgh, United Kingdom",Edimburgo,"Edimburgo, Reino Unido",Edinburgh,Edimburgo
Davao,Philippines,"Davao, Philippines",Davao,"Davao, Filipinas",Davao,Davao
Kraków,Poland,"Kraków, Poland",Cracovia,"Cracovia, Polonia",Kraków,Cracovia
Mumbai,India,"Mumbai, India",Mumbai,"Mumbai, India",Mumbai,Mumbai
Wrocław,Poland,"Wrocław, Poland",Wrocław,"Wrocław, Polonia",Wrocław,Wrocław
Ericeira,Portugal,"Ericeira, Portugal",Ericeira,"Ericeira, Portugal",Ericeira,Ericeira
Nakhon Ratchasima,Thailand,"Nakhon Ratchasima, Thailand",Nakhon Ratchasima,"Nakhon Ratchasima, Tailandia",Nakhon Ratchasima,Nakhon Ratchasima
Split,Croatia,"Split, Croatia",División,"Split, Croacia",Split,División
"Las Palmas, Canary Islands",Spain,"Las Palmas, Canary Islands, Spain","Las Palmas, Islas Canarias","Las Palmas, Islas Canarias, España",Las Palmas,Las Palmas
Vilnius,Lithuania,"Vilnius, Lithuania",Vilnius,"Vilnius, Lituania",Vilnius,Vilnius
"New York City, NY",United States,"New York City, NY, United States","Ciudad de Nueva York, NY","Ciudad de Nueva York, NY, Estados Unidos",New York City,New York City
Valencia,Spain,"Valencia, Spain",Valencia,"Valencia, España",Valencia,Valencia
Christchurch,New Zealand,"Christchurch, New Zealand",Christchurch,"Christchurch, Nueva Zelanda",Christchurch,Christchurch
Gdansk,Poland,"Gdansk, Poland",Gdansk,"Gdansk, Polonia",Gdansk,Gdansk
Palawan,Philippines,"Palawan, Philippines",Palawan,"Palawan, Filipinas",Palawan,Palawan
"New Orleans, LA",United States,"New Orleans, LA, United States","Nueva Orleans, LA","Nueva Orleans, LA, Estados Unidos",New Orleans,New Orleans
"Tucson, AZ",United States,"Tucson, AZ, United States","Tucson, AZ","Tucson, AZ, Estados Unidos",Tucson,Tucson
"Los Angeles, CA",United States,"Los Angeles, CA, United States","Los Ángeles, California","Los Ángeles, CA, Estados Unidos",Los Angeles,Los Angeles
Madrid,Spain,"Madrid, Spain",Madrid,"Madrid, España",Madrid,Madrid
"Boston, MA",United States,"Boston, MA, United States","Boston, MA","Boston, MA, Estados Unidos",Boston,Boston
Suva,Fiji,"Suva, Fiji",Suva,"Suva, Fiji",Suva,Suva
Bucharest,Romania,"Bucharest, Romania",Bucarest,"Bucarest, Rumania",Bucharest,Bucarest
Delhi,India,"Delhi, India",Delhi,"Delhi, India",Delhi,Delhi
Almaty,Kazakhstan,"Almaty, Kazakhstan",Almaty,"Almaty, Kazajstán",Almaty,Almaty
Varna,Bulgaria,"Varna, Bulgaria",Varna,"Varna, Bulgaria",Varna,Varna
Ho Chi Minh City,Vietnam,"Ho Chi Minh City, Vietnam",Ciudad de Ho Chi Minh,"Ciudad de Ho Chi Minh, Vietnam",Ho Chi Minh City,Ciudad de Ho Chi Minh
Colombo,Sri Lanka,"Colombo, Sri Lanka",Colombo,"Colombo, Sri Lanka",Colombo,Colombo
Glasgow,United Kingdom,"Glasgow, United Kingdom",Glasgow,"Glasgow, Reino Unido",Glasgow,Glasgow
Ljubljana,Slovenia,"Ljubljana, Slovenia",Liubliana,"Ljubljana, Eslovenia",Ljubljana,Liubliana
Hoi An,Vietnam,"Hoi An, Vietnam",Hoi An,"Hoi An, Vietnam",Hoi An,Hoi An
Burgas,Bulgaria,"Burgas, Bulgaria",Burgas,"Burgas, Bulgaria",Burgas,Burgas
Agra,India,"Agra, India",Agra,"Agra, India",Agra,Agra
Ottawa,Canada,"Ottawa, Canada",Ottawa,"Ottawa, Canadá",Ottawa,Ottawa
"San Diego, CA",United States,"San Diego, CA, United States","San Diego, CA","San Diego, CA, Estados Unidos",San Diego,San Diego
Munich,Germany,"Munich, Germany",Munich,"Munich, Alemania",Munich,Munich
Puerto Escondido,Mexico,"Puerto Escondido, Mexico",Puerto Escondido,"Puerto Escondido, México",Puerto Escondido,Puerto Escondido
"Kansas City, MO",United States,"Kansas City, MO, United States","Kansas City, MO","Kansas City, MO, Estados Unidos",Kansas City,Kansas City
Winnipeg,Canada,"Winnipeg, Canada",Winnipeg,"Winnipeg, Canadá",Winnipeg,Winnipeg
Vienna,Austria,"Vienna, Austria",Viena,"Viena, Austria",Vienna,Viena
Galle,Sri Lanka,"Galle, Sri Lanka",Galle,"Galle, Sri Lanka",Galle,Galle
Saskatoon,Canada,"Saskatoon, Canada",Saskatoon,"Saskatoon, Canadá",Saskatoon,Saskatoon
Shanghai,China,"Shanghai, China",Llevar a la fuerza,"Shanghai, China",Shanghai,Llevar a la fuerza
Phnom Penh,Cambodia,"Phnom Penh, Cambodia",Phnom Penh,"Phnom Penh, Camboya",Phnom Penh,Phnom Penh
Goa,India,"Goa, India",Ir a,"Goa, India",Goa,Ir a
Odessa,Ukraine,"Odessa, Ukraine",Odessa,"Odessa, Ucrania",Odessa,Odessa
El Gouna,Egypt,"El Gouna, Egypt",El Gouna,"El Gouna, Egipto",El Gouna,El Gouna
Khulna,Bangladesh,"Khulna, Bangladesh",Khulna,"Khulna, Bangladesh",Khulna,Khulna
Edmonton,Canada,"Edmonton, Canada",Edmonton,"Edmonton, Canadá",Edmonton,Edmonton
Hanoi,Vietnam,"Hanoi, Vietnam",Hanoi,"Hanoi, Vietnam",Hanoi,Hanoi
Wellington,New Zealand,"Wellington, New Zealand",Wellington,"Wellington, Nueva Zelanda",Wellington,Wellington
Amman,Jordan,"Amman, Jordan",Amman,"Amman, Jordania",Amman,Amman
Mysore,India,"Mysore, India",Mysore,"Mysore, India",Mysore,Mysore
Lima,Peru,"Lima, Peru",Lima,"Lima, Perú",Lima,Lima
"Minneapolis, MN",United States,"Minneapolis, MN, United States","Minneapolis, MN","Minneapolis, MN, Estados Unidos",Minneapolis,Minneapolis
Pune,India,"Pune, India",Pune,"Pune, India",Pune,Pune
Athens,Greece,"Athens, Greece",Atenas,"Atenas, Grecia",Athens,Atenas
"Battle Creek, MI",United States,"Battle Creek, MI, United States","Battle Creek, MI","Battle Creek, MI, Estados Unidos",Battle Creek,Battle Creek
Tbilisi,Georgia,"Tbilisi, Georgia",Tbilisi,"Tbilisi, Georgia",Tbilisi,Tbilisi
Surrey,Canada,"Surrey, Canada",Surrey,"Surrey, Canadá",Surrey,Surrey
Hubli,India,"Hubli, India",Hubli,"Hubli, India",Hubli,Hubli
Mamaia,Romania,"Mamaia, Romania",Mamaia,"Mamaia, Rumania",Mamaia,Mamaia
Cebu,Philippines,"Cebu, Philippines",Cebu,"Cebu, Filipinas",Cebu,Cebu
Chittagong,Bangladesh,"Chittagong, Bangladesh",Chittagong,"Chittagong, Bangladesh",Chittagong,Chittagong
Chiang Rai,Thailand,"Chiang Rai, Thailand",Chiang Rai,"Chiang Rai, Tailandia",Chiang Rai,Chiang Rai
Abbotsford,Canada,"Abbotsford, Canada",Abbotsford,"Abbotsford, Canadá",Abbotsford,Abbotsford
"Uluwatu, Bali",Indonesia,"Uluwatu, Bali, Indonesia","Uluwatu, Bali","Uluwatu, Bali, Indonesia",Uluwatu,Uluwatu
Thane,India,"Thane, India",Thane,"Thane, India",Thane,Thane
"Atlanta, GA",United States,"Atlanta, GA, United States","Atlanta, Georgia","Atlanta, GA, Estados Unidos",Atlanta,Atlanta
Dublin,Ireland,"Dublin, Ireland",Dublín,"Dublín, Irlanda",Dublin,Dublín
Florianopolis,Brazil,"Florianopolis, Brazil",Florianópolis,"Florianópolis, Brasil",Florianopolis,Florianópolis
Cuenca,Ecuador,"Cuenca, Ecuador",Cuenca,"Cuenca, Ecuador",Cuenca,Cuenca
"Brownsville, TX",United States,"Brownsville, TX, United States","Brownsville, TX","Brownsville, TX, Estados Unidos",Brownsville,Brownsville
"Ponta Delgada, Azores",Portugal,"Ponta Delgada, Azores, Portugal","Ponta Delgada, Azores","Ponta Delgada, Azores, Portugal",Ponta Delgada,Ponta Delgada
Meerut,India,"Meerut, India",Meerut,"Meerut, India",Meerut,Meerut
"Jimbaran, Bali",Indonesia,"Jimbaran, Bali, Indonesia","Jimbaran, Bali","Jimbaran, Bali, Indonesia",Jimbaran,Jimbaran
Lagos,Nigeria,"Lagos, Nigeria",Lagos,"Lagos, Nigeria",Lagos,Lagos
Jeju Island,South Korea,"Jeju Island, South Korea",Isla Jeju,"Isla de Jeju, Corea del Sur",Jeju Island,Isla Jeju
Havana,Cuba,"Havana, Cuba",La Habana,"La Habana, Cuba",Havana,La Habana
Tulum,Mexico,"Tulum, Mexico",Tulum,"Tulum, México",Tulum,Tulum
Braga,Portugal,"Braga, Portugal",Braga,"Braga, Portugal",Braga,Braga
Rijeka,Croatia,"Rijeka, Croatia",Rijeka,"Rijeka, Croacia",Rijeka,Rijeka
Regina,Canada,"Regina, Canada",Regina,"Regina, Canadá",Regina,Regina
Baguio,Philippines,"Baguio, Philippines",Baguio,"Baguio, Filipinas",Baguio,Baguio
Hyderabad,India,"Hyderabad, India",Hyderabad,"Hyderabad, India",Hyderabad,Hyderabad
Porto,Portugal,"Porto, Portugal",Porto,"Oporto, Portugal",Porto,Porto
"Tenerife, Canary Islands",Spain,"Tenerife, Canary Islands, Spain","Tenerife, Islas Canarias","Tenerife, Islas Canarias, España",Tenerife,Tenerife
Tallinn,Estonia,"Tallinn, Estonia",Tallin,"Tallin, Estonia",Tallinn,Tallin
"Denver, CO",United States,"Denver, CO, United States","Denver, CO","Denver, CO, Estados Unidos",Denver,Denver
Cancun,Mexico,"Cancun, Mexico",Cancún,Cancún México,Cancun,Cancún
Szczecin,Poland,"Szczecin, Poland",Szczecin,"Szczecin, Polonia",Szczecin,Szczecin
Brampton,Canada,"Brampton, Canada",Brampton,"Brampton, Canadá",Brampton,Brampton
Seville,Spain,"Seville, Spain",Sevilla,"Sevilla, España",Seville,Sevilla
"San Antonio, TX",United States,"San Antonio, TX, United States","San Antonio, TX","San Antonio, TX, Estados Unidos",San Antonio,San Antonio
Ko Samui,Thailand,"Ko Samui, Thailand",Ko Samui,"Ko Samui, Tailandia",Ko Samui,Ko Samui
