,City,Country,Photo,Overall Score,Quality of life score,Family score,Cost/month (USD),Internet Mbps,Fun,Safety,Education level,English speaking,Walkability,Peace,Traffic safety,Hospitals,Happiness,Nightlife,Free WiFi in city,Places to work from,Friendly to foreigners,Freedom of speech,Racial tolerance,Female friendly,LGBTQ friendly,Startup Score,Best taxi app in country,Best wireless carrier,Tipping,Cashless society,Safe tap water,Population,Temperature (°C) Jan,Temperature (°C) Feb,Temperature (°C) Mar,Temperature (°C) Apr,Temperature (°C) May,Temperature (°C) Jun,Temperature (°C) Jul,Temperature (°C) Aug,Temperature (°C) Sep,Temperature (°C) Oct,Temperature (°C) Nov,Temperature (°C) Dec
0,Lisbon,Portugal,https://nomadlist.com/assets/img/places/lisbon-portugal-500px.jpg,4.68,4,4,2006.0,27.0,4.0,Great,3.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,3.0,Uber,Vodafone,No,Yes,Yes,550000.0,14,16,19,18,22,21,23,25,24,21,17,16
1,"Canggu, Bali",Indonesia,https://nomadlist.com/assets/img/places/canggu-bali-indonesia-500px.jpg,4.61,4,4,1247.0,19.0,4.0,Great,3.0,4.0,3.0,3.0,2.0,,3.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,GoJEK,XL,No,No,No,30000.0,30,30,30,30,30,28,27,27,27,29,30,31
2,Mexico City,Mexico,https://nomadlist.com/assets/img/places/mexico-city-mexico-500px.jpg,4.46,4,3,1278.0,19.0,4.0,Okay,3.0,3.0,5.0,2.0,3.0,,4.0,4.0,3.0,5.0,4.0,3.0,2.0,3.0,5.0,3.0,Uber,Telcel,No,No,No,8900000.0,19,22,24,24,25,22,21,22,21,21,21,20
3,Chiang Mai,Thailand,https://nomadlist.com/assets/img/places/chiang-mai-thailand-500px.jpg,4.45,4,3,1056.0,24.0,4.0,Great,3.0,3.0,5.0,3.0,2.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,4.0,3.0,3.0,Grab,AIS,No,Yes,No,400000.0,29,32,36,37,35,32,31,31,31,31,30,28
4,Belgrade,Serbia,https://nomadlist.com/assets/img/places/belgrade-serbia-500px.jpg,4.45,4,4,1423.0,29.0,4.0,Good,3.0,4.0,5.0,3.0,3.0,,3.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,1.0,3.0,CarGo,Telenor,No,Yes,Yes,1400000.0,1,8,15,18,20,28,28,32,26,23,16,8
5,Berlin,Germany,https://nomadlist.com/assets/img/places/berlin-germany-500px.jpg,4.43,5,4,2957.0,30.0,5.0,Good,4.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,MyTaxi,Simyo,No,No,Yes,3500000.0,3,9,10,17,16,27,23,24,19,15,8,4
6,Bangkok,Thailand,https://nomadlist.com/assets/img/places/bangkok-thailand-500px.jpg,4.37,4,3,1430.0,25.0,4.0,Great,3.0,3.0,5.0,3.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,4.0,3.0,Grab,AIS,No,Yes,No,5800000.0,32,34,35,36,35,34,33,32,33,33,32,32
7,Prague,Czechia,https://nomadlist.com/assets/img/places/prague-czechia-500px.jpg,4.35,4,4,2041.0,31.0,5.0,Good,4.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,2.0,5.0,4.0,3.0,Liftago,Vodafone,No,Yes,Yes,1300000.0,2,6,10,16,15,26,23,24,19,16,8,5
8,Istanbul,Turkey,https://nomadlist.com/assets/img/places/istanbul-turkey-500px.jpg,4.33,4,3,1105.0,12.0,4.0,Good,3.0,3.0,5.0,2.0,3.0,5.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,2.0,1.0,3.0,Uber,AVEA,No,,No,15000000.0,9,9,13,16,22,27,28,28,25,21,20,12
9,Taipei,Taiwan,https://nomadlist.com/assets/img/places/taipei-taiwan-500px.jpg,4.3,4,4,1993.0,20.0,3.0,Great,4.0,3.0,5.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,Uber,ChungHwa,No,No,No,2700000.0,19,20,22,27,27,31,32,32,29,26,23,21
