0,1
"Atlanta, Estados Unidos","Amsterdam, Netherlands"
"Bangkok, Tailandia","Atlanta, GA, United States"
"Boston, Estados Unidos","Boston, MA, United States"
"Bruselas, Bélgica","Brussels, Belgium"
"Buenos Aires, Argentina","Buenos Aires, Argentina"
"Busan, Corea del Sur","Chicago, IL, United States"
"Cantón, China","Chongqing, China"
"Chengdu, China","Cologne, Germany"
"Chicago, Estados Unidos","Dallas, TX, United States"
"Chongqing, China","Frankfurt, Germany"
"Ciudad de México, México","Hong Kong, Hong Kong"
"Colonia, Alemania","Houston, TX, United States"
"Dallas, Estados Unidos","London, United Kingdom"
"Delhi, India","Los Angeles, CA, United States"
"Estambul, Turquía","Madrid, Spain"
"Filadelfia, Estados Unidos","Mexico City, Mexico"
"Frankfurt, Alemania","Miami, FL, United States"
"Hong Kong, China","Milan, Italy"
"Houston, Estados Unidos","Moscow, Russia"
"Londres, Reino Unido","Nagoya, Japan"
"Los Ángeles, Estados Unidos","Osaka, Japan"
"Madrid, España","Paris, France"
"Miami, Estados Unidos","Philadelphia, PA, United States"
"Milán, Italia","San Antonio, TX, United States"
"Moscú, Rusia","San Francisco, CA, United States"
"Múnich, Alemania","Seattle, WA, United States"
"Nagoya, Japón","Seoul, South Korea"
"Nueva York, Estados Unidos","Shanghai, China"
"Osaka, Japón","Shenzhen, China"
"París, Francia","Singapore, Singapore"
"Pekín, China","Sydney, Australia"
"San Francisco, Estados Unidos","São Paulo, Brazil"
"Seattle, Estados Unidos","Tokyo, Japan"
"Seúl, Corea del Sur","Toronto, Canada"
"Shanghái, China","Washington, DC, United States"
"Shenzhen, China","York, United Kingdom"
"Singapur, Singapur",
"Suzhou, China",
"São Paulo, Brasil",
"Sídney, Australia",
"Taipéi, Taiwán",
"Tianjin, China",
"Tokio, Japón",
"Toronto, Canadá",
"Washington D. C., Estados Unidos",
"Wuhan, China",
"Yakarta, Indonesia",
"Ámsterdam, PaísesBajos",
