City,Country,Photo,Overall Score,Quality of life score,Family score,Cost/month (USD),Internet Mbps,Fun,Safety,Education level,English speaking,Walkability,Peace,Traffic safety,Hospitals,Happiness,Nightlife,Free WiFi in city,Places to work from,Friendly to foreigners,Freedom of speech,Racial tolerance,Female friendly,LGBTQ friendly,Startup Score,Best taxi app in country,Best wireless carrier,Tipping,Cashless society,Safe tap water,Population,Temperature (°C) Jan,Temperature (°C) Feb,Temperature (°C) Mar,Temperature (°C) Apr,Temperature (°C) May,Temperature (°C) Jun,Temperature (°C) Jul,Temperature (°C) Aug,Temperature (°C) Sep,Temperature (°C) Oct,Temperature (°C) Nov,Temperature (°C) Dec,lat,lng,Closest Cities (km),Continente,City-Country,Average days,Cost/day (USD),Presupuesto
Madrid,Spain,https://nomadlist.com/assets/img/places/madrid-spain-500px.jpg,3.8,4,4,2831.0,32.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,Uber,Tuenti,0,1,1,3300000.0,11,13,16,15,22,26,31,30,25,20,12,12,40.416704700000004,-3.7035824999999996,"{'Cordoba, Spain': 296, 'Valencia, Spain': 302, 'Pamplona, Spain': 317, 'Bilbao, Spain': 322, 'San Sebastian, Spain': 353, 'Granada, Spain': 359, 'Alicante, Spain': 359, 'Javea, Spain': 377, 'Biarritz, France': 384, 'Seville, Spain': 390}",Europe,"Madrid, Spain",3.0,94.0,282.0
Cordoba,Spain,https://nomadlist.com/assets/img/places/cordoba-spain-500px.jpg,3.35,4,3,2533.0,44.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,5.0,3.0,Uber,ATT,0,1,1,330000.0,14,17,20,19,28,29,33,34,29,26,17,16,37.884581299999994,-4.7760138,"{'Seville, Spain': 120, 'Granada, Spain': 129, 'Malaga, Spain': 133, 'Marbella, Spain': 153, 'Gibraltar, Gibraltar': 200, 'Tarifa, Spain': 220, 'Tangier, Morocco': 251, 'Faro, Algarve, Portugal': 295, 'Madrid, Spain': 296, 'Portimão, Portugal': 342}",Europe,"Cordoba, Spain",2.0,84.0,168.0
Seville,Spain,https://nomadlist.com/assets/img/places/seville-spain-500px.jpg,3.68,4,4,2382.0,25.0,3.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,5.0,3.0,4.0,2.0,4.0,5.0,2.0,Uber,ATT,0,1,1,700000.0,15,18,20,20,29,28,31,33,30,26,18,17,37.388630299999996,-5.9953403,"{'Cordoba, Spain': 120, 'Marbella, Spain': 138, 'Gibraltar, Gibraltar': 150, 'Tarifa, Spain': 156, 'Malaga, Spain': 158, 'Faro, Algarve, Portugal': 176, 'Tangier, Morocco': 180, 'Granada, Spain': 213, 'Portimão, Portugal': 226, 'Lisbon, Portugal': 311}",Europe,"Seville, Spain",3.0,79.0,237.0
"Faro, Algarve",Portugal,https://nomadlist.com/assets/img/places/faro-algarve-portugal-500px.jpg,3.3,4,3,2419.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,5.0,4.0,4.0,5.0,2.0,Uber,Vodafone,0,1,1,450000.0,15,17,18,18,23,23,24,26,25,21,18,16,37.0162727,-7.9351771,"{'Portimão, Portugal': 55, 'Seville, Spain': 176, 'Lisbon, Portugal': 215, 'Tangier, Morocco': 235, 'Tarifa, Spain': 236, 'Gibraltar, Gibraltar': 250, 'Ericeira, Portugal': 252, 'Marbella, Spain': 277, 'Cordoba, Spain': 295, 'Malaga, Spain': 314}",Europe,"Faro, Algarve, Portugal",3.0,81.0,243.0
Portimão,Portugal,https://nomadlist.com/assets/img/places/portimao-portugal-500px.jpg,3.1,4,3,2843.0,18.0,3.0,5.0,3.0,2.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,5.0,3.0,3.0,5.0,2.0,Uber,Vodafone,0,1,1,56000.0,16,17,19,17,22,21,22,24,25,22,18,18,37.137580799999995,-8.5368426,"{'Faro, Algarve, Portugal': 55, 'Lisbon, Portugal': 182, 'Ericeira, Portugal': 217, 'Seville, Spain': 226, 'Tangier, Morocco': 287, 'Tarifa, Spain': 290, 'Gibraltar, Gibraltar': 304, 'Marbella, Spain': 332, 'Coimbra, Portugal': 341, 'Cordoba, Spain': 342}",Europe,"Portimão, Portugal",5.0,95.0,475.0
Lisbon,Portugal,https://nomadlist.com/assets/img/places/lisbon-portugal-500px.jpg,4.68,4,4,2006.0,27.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,3.0,Uber,Vodafone,0,1,1,550000.0,14,16,19,18,22,21,23,25,24,21,17,16,38.70775070000001,-9.1365919,"{'Ericeira, Portugal': 37, 'Coimbra, Portugal': 177, 'Portimão, Portugal': 182, 'Faro, Algarve, Portugal': 215, 'Aveiro, Portugal': 218, 'Porto, Portugal': 275, 'Seville, Spain': 311, 'Braga, Portugal': 321, 'Cordoba, Spain': 391, 'Tarifa, Spain': 432}",Europe,"Lisbon, Portugal",4.0,67.0,268.0
Ericeira,Portugal,https://nomadlist.com/assets/img/places/ericeira-portugal-500px.jpg,3.87,4,3,1799.0,12.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,Uber,Vodafone,0,1,1,10000.0,14,15,17,16,20,20,21,21,21,20,17,15,38.9631655,-9.4170098,"{'Lisbon, Portugal': 37, 'Coimbra, Portugal': 162, 'Aveiro, Portugal': 197, 'Portimão, Portugal': 217, 'Porto, Portugal': 252, 'Faro, Algarve, Portugal': 252, 'Braga, Portugal': 299, 'Seville, Spain': 346, 'Cordoba, Spain': 421, 'Tarifa, Spain': 469}",Europe,"Ericeira, Portugal",8.0,60.0,480.0
Coimbra,Portugal,https://nomadlist.com/assets/img/places/coimbra-portugal-500px.jpg,3.12,4,3,2158.0,23.0,3.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,3.0,Uber,Vodafone,0,1,1,110000.0,13,16,19,17,23,21,25,25,26,21,15,15,40.2109801,-8.429205699999999,"{'Aveiro, Portugal': 51, 'Porto, Portugal': 105, 'Braga, Portugal': 149, 'Ericeira, Portugal': 162, 'Lisbon, Portugal': 177, 'Portimão, Portugal': 341, 'A Coruna, Spain': 351, 'Faro, Algarve, Portugal': 357, 'Seville, Spain': 378, 'Madrid, Spain': 401}",Europe,"Coimbra, Portugal",1.0,72.0,72.0
Braga,Portugal,https://nomadlist.com/assets/img/places/braga-portugal-500px.jpg,3.67,4,3,1721.0,53.0,3.0,5.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,Uber,Vodafone,0,1,1,140000.0,12,14,18,16,22,20,25,25,26,20,14,14,41.5510583,-8.4280045,"{'Porto, Portugal': 47, 'Aveiro, Portugal': 103, 'Coimbra, Portugal': 149, 'A Coruna, Spain': 202, 'Ericeira, Portugal': 299, 'Lisbon, Portugal': 321, 'Madrid, Spain': 416, 'Bilbao, Spain': 489, 'Portimão, Portugal': 490, 'Faro, Algarve, Portugal': 506}",Europe,"Braga, Portugal",2.0,57.0,114.0
A Coruna,Spain,https://nomadlist.com/assets/img/places/a-coruna-spain-500px.jpg,2.61,4,3,3911.0,28.0,3.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,2.0,4.0,5.0,2.0,Uber,Orange,0,1,1,240000.0,12,15,16,15,17,19,21,22,21,19,14,14,43.3712091,-8.395876800000002,"{'Braga, Portugal': 202, 'Porto, Portugal': 247, 'Aveiro, Portugal': 304, 'Coimbra, Portugal': 351, 'Bilbao, Spain': 442, 'Ericeira, Portugal': 497, 'Madrid, Spain': 508, 'San Sebastian, Spain': 518, 'Lisbon, Portugal': 522, 'Pamplona, Spain': 551}",Europe,"A Coruna, Spain",2.0,130.0,260.0
