user,City,Country,Time (days),City-Country
100marc,"Fort Lauderdale, FL",United States,557,"Fort Lauderdale, FL, United States"
100marc,"Miami, FL",United States,475,"Miami, FL, United States"
10kjuan,Andorra la Vella,Andorra,1,"Andorra la Vella, Andorra"
10kjuan,Barcelona,Spain,236,"Barcelona, Spain"
10kjuan,Belgrade,Serbia,7,"Belgrade, Serbia"
10kjuan,Berlin,Germany,7,"Berlin, Germany"
10kjuan,Brasov,Romania,1,"Brasov, Romania"
10kjuan,Bratislava,Slovakia,4,"Bratislava, Slovakia"
10kjuan,Bucharest,Romania,1,"Bucharest, Romania"
10kjuan,Budapest,Hungary,553,"Budapest, Hungary"
10kjuan,"Chicago, IL",United States,3,"Chicago, IL, United States"
10kjuan,Dubrovnik,Croatia,3,"Dubrovnik, Croatia"
10kjuan,"Fort Lauderdale, FL",United States,44,"Fort Lauderdale, FL, United States"
10kjuan,Fortaleza,Brazil,1,"Fortaleza, Brazil"
10kjuan,Guayaquil,Ecuador,33,"Guayaquil, Ecuador"
10kjuan,"Key West, FL",United States,2,"Key West, FL, United States"
10kjuan,Kotor,Montenegro,1,"Kotor, Montenegro"
10kjuan,Kraków,Poland,8,"Kraków, Poland"
10kjuan,Lisbon,Portugal,122,"Lisbon, Portugal"
10kjuan,Madrid,Spain,5,"Madrid, Spain"
10kjuan,Manaus,Brazil,3,"Manaus, Brazil"
10kjuan,Medellín,Colombia,73,"Medellín, Colombia"
10kjuan,"Miami, FL",United States,808,"Miami, FL, United States"
10kjuan,Minsk,Belarus,7,"Minsk, Belarus"
10kjuan,Montanita,Ecuador,3,"Montanita, Ecuador"
10kjuan,Moscow,Russia,28,"Moscow, Russia"
10kjuan,Mumbai,India,8,"Mumbai, India"
10kjuan,Munich,Germany,4,"Munich, Germany"
10kjuan,"New York City, NY",United States,14,"New York City, NY, United States"
10kjuan,Paris,France,15,"Paris, France"
10kjuan,Porto,Portugal,2,"Porto, Portugal"
10kjuan,Recife,Brazil,1,"Recife, Brazil"
10kjuan,Rio de Janeiro,Brazil,3,"Rio de Janeiro, Brazil"
10kjuan,Sarajevo,Bosnia,4,"Sarajevo, Bosnia"
10kjuan,Split,Croatia,18,"Split, Croatia"
10kjuan,São Paulo,Brazil,89,"São Paulo, Brazil"
10kjuan,Valencia,Spain,1,"Valencia, Spain"
10kjuan,Vienna,Austria,2,"Vienna, Austria"
10kjuan,Warsaw,Poland,7,"Warsaw, Poland"
10kjuan,Zagreb,Croatia,73,"Zagreb, Croatia"
1hakr,Bangkok,Thailand,3,"Bangkok, Thailand"
1hakr,"Buffalo, NY",United States,2,"Buffalo, NY, United States"
1hakr,"Canggu, Bali",Indonesia,3,"Canggu, Bali, Indonesia"
1hakr,Cebu,Philippines,6,"Cebu, Philippines"
1hakr,Goa,India,2,"Goa, India"
1hakr,Kathmandu,Nepal,2,"Kathmandu, Nepal"
1hakr,Kyoto,Japan,1,"Kyoto, Japan"
1hakr,"New York City, NY",United States,2,"New York City, NY, United States"
1hakr,Osaka,Japan,3,"Osaka, Japan"
1hakr,Pattaya,Thailand,34,"Pattaya, Thailand"
1hakr,Pokhara,Nepal,2,"Pokhara, Nepal"
1hakr,"San Francisco, CA",United States,5,"San Francisco, CA, United States"
1hakr,Sydney,Australia,5,"Sydney, Australia"
1hakr,Taipei,Taiwan,6,"Taipei, Taiwan"
1hakr,Tokyo,Japan,7,"Tokyo, Japan"
1hakr,Visakhapatnam,India,3,"Visakhapatnam, India"
1hakr,Yogyakarta,Indonesia,5,"Yogyakarta, Indonesia"
8128,Amsterdam,Netherlands,4,"Amsterdam, Netherlands"
8128,Barcelona,Spain,7,"Barcelona, Spain"
8128,Beijing,China,7,"Beijing, China"
8128,Berlin,Germany,8,"Berlin, Germany"
8128,Cancun,Mexico,4,"Cancun, Mexico"
8128,"Chicago, IL",United States,8,"Chicago, IL, United States"
