Original name,City,Lat,Lon,Country,ISO2,ISO3,Population
Tokyo,Tokyo,35.685,139.7514,Japan,JP,JPN,35676000.0
New York,New York,40.6943,-73.9249,United States,US,USA,19354922.0
Mexico City,Mexico City,19.4424,-99.131,Mexico,MX,MEX,19028000.0
Mumbai,Mumbai,19.017,72.857,India,IN,IND,18978000.0
São Paulo,Sao Paulo,-23.5587,-46.625,Brazil,BR,BRA,18845000.0
Delhi,Delhi,28.67,77.23,India,IN,IND,15926000.0
Shanghai,Shanghai,31.2165,121.4365,China,CN,CHN,14987000.0
Kolkata,Kolkata,22.495,88.3247,India,IN,IND,14787000.0
Los Angeles,Los Angeles,34.1139,-118.4068,United States,US,USA,12815475.0
Dhaka,Dhaka,23.7231,90.4086,Bangladesh,BD,BGD,12797394.0
Buenos Aires,Buenos Aires,-34.6025,-58.3975,Argentina,AR,ARG,12795000.0
Karachi,Karachi,24.87,66.99,Pakistan,PK,PAK,12130000.0
Cairo,Cairo,30.05,31.25,Egypt,EG,EGY,11893000.0
Rio de Janeiro,Rio de Janeiro,-22.925,-43.225,Brazil,BR,BRA,11748000.0
Ōsaka,Osaka,34.75,135.4601,Japan,JP,JPN,11294000.0
Beijing,Beijing,39.9289,116.3883,China,CN,CHN,11106000.0
Manila,Manila,14.6042,120.9822,Philippines,PH,PHL,11100000.0
Moscow,Moscow,55.7522,37.6155,Russia,RU,RUS,10452000.0
Istanbul,Istanbul,41.105,29.01,Turkey,TR,TUR,10061000.0
Paris,Paris,48.8667,2.3333,France,FR,FRA,9904000.0
Seoul,Seoul,37.5663,126.9997,"Korea, South",KR,KOR,9796000.0
Lagos,Lagos,6.4433,3.3915,Nigeria,NG,NGA,9466000.0
Jakarta,Jakarta,-6.1744,106.8294,Indonesia,ID,IDN,9125000.0
Guangzhou,Guangzhou,23.145,113.325,China,CN,CHN,8829000.0
Chicago,Chicago,41.8373,-87.6862,United States,US,USA,8675982.0
London,London,51.5,-0.1167,United Kingdom,GB,GBR,8567000.0
Lima,Lima,-12.048,-77.0501,Peru,PE,PER,8012000.0
Tehran,Tehran,35.6719,51.4243,Iran,IR,IRN,7873000.0
Kinshasa,Kinshasa,-4.3297,15.315,Congo (Kinshasa),CD,COD,7843000.0
Bogotá,Bogota,4.5964,-74.0833,Colombia,CO,COL,7772000.0
Shenzhen,Shenzhen,22.5524,114.1221,China,CN,CHN,7581000.0
Wuhan,Wuhan,30.58,114.27,China,CN,CHN,7243000.0
Hong Kong,Hong Kong,22.305,114.185,Hong Kong,HK,HKG,7206000.0
