,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
0,Road Trip: Beer Pong,2009,R,11 Aug 2009,95 min,Comedy,Steve Rash,"Brad Riddell, Todd Phillips (motion picture ""Road Trip""), Scot Armstrong (motion picture ""Road Trip"")","DJ Qualls, Mary Cobb, Rhoda Griffis, Preston Jones",Three college roommates join a bus full of gorgeous models and travel the country to compete in a National Beer Pong Championship. With a busload of attractive women who knows how much fun they could have?,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTI4MTU5OTg4NF5BMl5BanBnXkFtZTcwNjc0NTU2Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,"11,168",tt1319733,movie,11 Aug 2009,N/A,Paramount Home Entertainment,N/A,True,
0,I Hope They Serve Beer in Hell,2009,R,25 Sep 2009,105 min,Comedy,Bob Gosse,"Tucker Max (novel), Tucker Max (screenplay), Nils Parker (screenplay)","Tim Huck, Lex D. Geddings, Matt Czuchry, Yvette Yates Redick",A guy tries to patch things up with his soon-to-be-married pal after botching things up at his bachelor party.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTQzMzQyNzIyNF5BMl5BanBnXkFtZTcwNDAwMjc3Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '26/100'}]",26,5.3,"8,139",tt1220628,movie,26 Jan 2010,"$1,357,585",Freestyle Releasing,N/A,True,
0,Beer League,2006,R,15 Sep 2006,86 min,"Comedy, Sport",Frank Sebastiano,"Frank Sebastiano, Artie Lange","Artie Lange, Ralph Macchio, Anthony DeSando, Cara Buono",An unemployed slacker inspires his softball teammates to improve their game so they won't get kicked out of the local league.,English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTU3MTU2MDY2OV5BMl5BanBnXkFtZTcwNjc0ODUzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,5.9,"7,596",tt0453453,movie,02 Jan 2007,"$475,000",Echo Bridge Entertainment,N/A,True,
0,Beer for My Horses,2008,PG-13,08 Aug 2008,86 min,"Action, Comedy, Crime",Michael Salomon,"Rodney Carrington (screenplay), Toby Keith (screenplay)","Toby Keith, Rodney Carrington, Claire Forlani, Ted Nugent","""Beer for My Horses"" tells the story of two best friends that work together as deputies in a small town. The two defy the Sheriff and head off on an outrageous road trip to save the protagonist's girlfriend from drug lord kidnappers.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjE0NzI3OTEwNl5BMl5BanBnXkFtZTcwNDA1OTg3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",N/A,4.9,"1,703",tt1178640,movie,11 Nov 2008,"$586,242",Roadside Attractions,N/A,True,
0,The Fatal Glass of Beer,1933,Passed,03 Mar 1933,18 min,"Short, Comedy",Clyde Bruckman,N/A,"W.C. Fields, Rosemary Theby, George Chandler, Richard Cramer","The prodigal son of a Yukon prospector comes home on a night that ""ain't fit for man nor beast.""",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjMwNTAwODEwOV5BMl5BanBnXkFtZTgwNDIzODgwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"1,545",tt0022883,movie,N/A,N/A,Mack Sennett Comedies,N/A,True,
0,"Pizza, Beer, and Cigarettes",1998,R,15 Jan 1998,92 min,"Crime, Drama","Israel Adrián Caetano, Bruno Stagnaro","Israel Adrián Caetano, Bruno Stagnaro","Héctor Anglada, Jorge Sesán, Pamela Jordán, Adrián Yospe","A couple of friends work for a taxi driver to rob his passengers, but they feel like they're getting ripped off. They decide to plan their own robberies, but they are amateurs and things ...",Spanish,Argentina,12 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BY2E3YTVkYzUtNTljOC00NDg2LTlkNmQtYzJkMjAyOGFjMzI1XkEyXkFqcGdeQXVyMzU1ODUxOTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"1,459",tt0145393,movie,27 Dec 2005,N/A,N/A,N/A,True,
0,Beer Wars,2009,PG,16 Apr 2009,89 min,Documentary,Anat Baron,Anat Baron,"Norman Adami, Anat Baron, Roberta Baskin, Jeff Becker",A contemporary David and Goliath story that takes you inside the cutthroat world of the big business of American beer.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNjcyODI1MjYwOV5BMl5BanBnXkFtZTcwMTY0NDYzMg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",N/A,6.9,"1,116",tt1326194,movie,02 Feb 2010,N/A,Gravitas,N/A,True,
0,Doug Stanhope: Beer Hall Putsch,2013,Not Rated,06 Sep 2013,61 min,"Documentary, Comedy",Jay Karas,Doug Stanhope,Doug Stanhope,"Named after Hitler's first failed coup attempt, Beer Hall Putsch draws you deeper into the acerbic comic's clear-sighted view of the world with his newest one hour stand-up special recorded...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjAyNTAwODgyNV5BMl5BanBnXkFtZTgwNzg3ODM3NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,907,tt2833398,movie,N/A,N/A,N/A,N/A,True,
0,Beer,1985,R,30 Aug 1985,82 min,Comedy,Patrick Kelly,Allan Weisbecker,"Loretta Swit, Rip Torn, Kenneth Mars, David Alan Grier","An advertising firm, desperate to keep an account from a financially-ailing brewery, concocts a macho ad campaign centering on three losers who inadvertently prevent a robbery at a bar.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjQxYTZmODgtYTk4ZS00ZDA1LTkzOWMtNTk2Y2U2MzFhNzEwXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,587,tt0088781,movie,25 Jul 1988,N/A,HBO Video,N/A,True,
0,How Beer Saved the World,2011,TV-PG,30 Jan 2011,60 min,Documentary,N/A,Martyn Ives,"Henry Strozier, George Armelagos, Charlie Bamforth, Kyria Boundy-Mills",This show traces the important role that beer has played in human history from the probable origins of the first beer at the dawn of history to the development of a special beer for use in zero gravity space missions.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTc1OTkyMDc2NF5BMl5BanBnXkFtZTcwOTg4NzI1Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,459,tt1832368,movie,N/A,N/A,N/A,N/A,True,
